word,expected_pinyin,expected_tone,source,source_status,all_readings,reading_count,tones_seen
次,,,moe_dict,ambiguous_polyphone,zī(ㄗ)=1|cì(ㄘˋ)=4,2,"1,4"
正,,,moe_dict,ambiguous_polyphone,zhēng(ㄓㄥ)=1|zhèng(ㄓㄥˋ)=4,2,"1,4"
母,mǔ,3,moe_dict,verified,mǔ(ㄇㄨˇ)=3,1,3
每,měi,3,moe_dict,verified,měi(ㄇㄟˇ)=3,1,3
比,,,moe_dict,ambiguous_polyphone,bǐ(ㄅㄧˇ)=3|bì(ㄅㄧˋ)=4|pí(ㄆㄧˊ)=2,3,"2,3,4"
氣,qì,4,moe_dict,verified,qì(ㄑㄧˋ)=4,1,4
水,shuǐ,3,moe_dict,verified,shuǐ(ㄕㄨㄟˇ)=3,1,3
沒,,,moe_dict,ambiguous_polyphone,mò(ㄇㄛˋ)=4|méi(ㄇㄟˊ)=2,2,"2,4"
洗,,3,moe_dict,verified_tone_only,xǐ(ㄒㄧˇ)=3|xiǎn(ㄒㄧㄢˇ)=3,2,3
淨,jìng,4,moe_dict,verified,jìng(ㄐㄧㄥˋ)=4,1,4
準,zhǔn,3,moe_dict,verified,zhǔn(ㄓㄨㄣˇ)=3,1,3
漂,,,moe_dict,ambiguous_polyphone,piāo(ㄆㄧㄠ)=1|piǎo(ㄆㄧㄠˇ)=3|piào(ㄆㄧㄠˋ)=4,3,"1,3,4"
澡,zǎo,3,moe_dict,verified,zǎo(ㄗㄠˇ)=3,1,3
炮,,,moe_dict,ambiguous_polyphone,bāo(ㄅㄠ)=1|páo(ㄆㄠˊ)=2|pào(ㄆㄠˋ)=4,3,"1,2,4"
為,,,moe_dict,ambiguous_polyphone,wéi(ㄨㄟˊ)=2|wèi(ㄨㄟˋ)=4,2,"2,4"
然,rán,2,moe_dict,verified,rán(ㄖㄢˊ)=2,1,2
煩,fán,2,moe_dict,verified,fán(ㄈㄢˊ)=2,1,2
熱,rè,4,moe_dict,verified,rè(ㄖㄜˋ)=4,1,4
燈,dēng,1,moe_dict,verified,dēng(ㄉㄥ)=1,1,1
父,,,moe_dict,ambiguous_polyphone,fǔ(ㄈㄨˇ)=3|fù(ㄈㄨˋ)=4,2,"3,4"
爸,bà,4,moe_dict,verified,bà(ㄅㄚˋ)=4,1,4
物,wù,4,moe_dict,verified,wù(ㄨˋ)=4,1,4
狗,gǒu,3,moe_dict,verified,gǒu(ㄍㄡˇ)=3,1,3
現,xiàn,4,moe_dict,verified,xiàn(ㄒㄧㄢˋ)=4,1,4
生,shēng,1,moe_dict,verified,shēng(ㄕㄥ)=1,1,1
用,yòng,4,moe_dict,verified,yòng(ㄩㄥˋ)=4,1,4
當,,,moe_dict,ambiguous_polyphone,dāng(ㄉㄤ)=1|dǎng(ㄉㄤˇ)=3|dàng(ㄉㄤˋ)=4,3,"1,3,4"
發,fā,1,moe_dict,verified,fā(ㄈㄚ)=1,1,1
的,,,moe_dict,ambiguous_polyphone,de(˙ㄉㄜ)=5|dí(ㄉㄧˊ)=2|dì(ㄉㄧˋ)=4,3,"2,4,5"
相,,,moe_dict,ambiguous_polyphone,xiāng(ㄒㄧㄤ)=1|xiàng(ㄒㄧㄤˋ)=4,2,"1,4"
看,,,moe_dict,ambiguous_polyphone,kān(ㄎㄢ)=1|kàn(ㄎㄢˋ)=4,2,"1,4"
眼,yǎn,3,moe_dict,verified,yǎn(ㄧㄢˇ)=3,1,3
睛,jīng,1,moe_dict,verified,jīng(ㄐㄧㄥ)=1,1,1
睜,zhēng,1,moe_dict,verified,zhēng(ㄓㄥ)=1,1,1
睡,shuì,4,moe_dict,verified,shuì(ㄕㄨㄟˋ)=4,1,4
知,,,moe_dict,ambiguous_polyphone,zhī(ㄓ)=1|zhì(ㄓˋ)=4,2,"1,4"
短,duǎn,3,moe_dict,verified,duǎn(ㄉㄨㄢˇ)=3,1,3
示,,,moe_dict,ambiguous_polyphone,qí(ㄑㄧˊ)=2|shì(ㄕˋ)=4,2,"2,4"
祝,zhù,4,moe_dict,verified,zhù(ㄓㄨˋ)=4,1,4
福,fú,2,moe_dict,verified,fú(ㄈㄨˊ)=2,1,2
空,,,moe_dict,ambiguous_polyphone,kōng(ㄎㄨㄥ)=1|kòng(ㄎㄨㄥˋ)=4,2,"1,4"
穿,chuān,1,moe_dict,verified,chuān(ㄔㄨㄢ)=1,1,1
窗,chuāng,1,moe_dict,verified,chuāng(ㄔㄨㄤ)=1,1,1
笑,xiào,4,moe_dict,verified,xiào(ㄒㄧㄠˋ)=4,1,4
等,děng,3,moe_dict,verified,děng(ㄉㄥˇ)=3,1,3
答,,,moe_dict,ambiguous_polyphone,dā(ㄉㄚ)=1|dá(ㄉㄚˊ)=2,2,"1,2"
算,suàn,4,moe_dict,verified,suàn(ㄙㄨㄢˋ)=4,1,4
節,jié,2,moe_dict,verified,jié(ㄐㄧㄝˊ)=2,1,2
簡,jiǎn,3,moe_dict,verified,jiǎn(ㄐㄧㄢˇ)=3,1,3
紅,,,moe_dict,ambiguous_polyphone,gōng(ㄍㄨㄥ)=1|hóng(ㄏㄨㄥˊ)=2,2,"1,2"
經,jīng,1,moe_dict,verified,jīng(ㄐㄧㄥ)=1,1,1
老,lǎo,3,moe_dict,verified,lǎo(ㄌㄠˇ)=3,1,3
而,ér,2,moe_dict,verified,ér(ㄦˊ)=2,1,2
聖,shèng,4,moe_dict,verified,shèng(ㄕㄥˋ)=4,1,4
聯,lián,2,moe_dict,verified,lián(ㄌㄧㄢˊ)=2,1,2
聲,shēng,1,moe_dict,verified,shēng(ㄕㄥ)=1,1,1
聽,,,moe_dict,ambiguous_polyphone,tīng(ㄊㄧㄥ)=1|tìng(ㄊㄧㄥˋ)=4,2,"1,4"
肯,,3,moe_dict,verified_tone_only,kěn(ㄎㄣˇ)=3|kěng(ㄎㄥˇ)=3,2,3
胖,,,moe_dict,ambiguous_polyphone,pán(ㄆㄢˊ)=2|pàng(ㄆㄤˋ)=4,2,"2,4"
胡,hú,2,moe_dict,verified,hú(ㄏㄨˊ)=2,1,2
脫,,,moe_dict,ambiguous_polyphone,tuō(ㄊㄨㄛ)=1|tuì(ㄊㄨㄟˋ)=4,2,"1,4"
臉,liǎn,3,moe_dict,verified,liǎn(ㄌㄧㄢˇ)=3,1,3
色,,,moe_dict,ambiguous_polyphone,shè(ㄕㄜˋ)=4|shǎi(ㄕㄞˇ)=3|sè(ㄙㄜˋ)=4,3,"3,4"
花,huā,1,moe_dict,verified,huā(ㄏㄨㄚ)=1,1,1
英,yīng,1,moe_dict,verified,yīng(ㄧㄥ)=1,1,1
萬,wàn,4,moe_dict,verified,wàn(ㄨㄢˋ)=4,1,4
著,,,moe_dict,ambiguous_polyphone,zhe(˙ㄓㄜ)=5|zhāo(ㄓㄠ)=1|zháo(ㄓㄠˊ)=2|zhù(ㄓㄨˋ)=4|zhuó(ㄓㄨㄛˊ)=2,5,"1,2,4,5"
行,,,moe_dict,ambiguous_polyphone,háng(ㄏㄤˊ)=2|hàng(ㄏㄤˋ)=4|xíng(ㄒㄧㄥˊ)=2|xìng(ㄒㄧㄥˋ)=4,4,"2,4"
