word,expected_pinyin,expected_tone,source,source_status,all_readings,reading_count,tones_seen
顏,yán,2,moe_dict,verified,yán(ㄧㄢˊ)=2,1,2
飯,fàn,4,moe_dict,verified,fàn(ㄈㄢˋ)=4,1,4
餐,cān,1,moe_dict,verified,cān(ㄘㄢ)=1,1,1
館,guǎn,3,moe_dict,verified,guǎn(ㄍㄨㄢˇ)=3,1,3
騎,,,moe_dict,ambiguous_polyphone,jì(ㄐㄧˋ)=4|qí(ㄑㄧˊ)=2,2,"2,4"
體,tǐ,3,moe_dict,verified,tǐ(ㄊㄧˇ)=3,1,3
高,gāo,1,moe_dict,verified,gāo(ㄍㄠ)=1,1,1
鬧,nào,4,moe_dict,verified,nào(ㄋㄠˋ)=4,1,4
鮮,,,moe_dict,ambiguous_polyphone,xiān(ㄒㄧㄢ)=1|xiǎn(ㄒㄧㄢˇ)=3,2,"1,3"
麻,má,2,moe_dict,verified,má(ㄇㄚˊ)=2,1,2
麼,,,moe_dict,ambiguous_polyphone,ma(˙ㄇㄚ)=5|me(˙ㄇㄜ)=5|má(ㄇㄚˊ)=2|mó(ㄇㄛˊ)=2,4,"2,5"
黑,,,moe_dict,ambiguous_polyphone,hè(ㄏㄜˋ)=4|hēi(ㄏㄟ)=1|hěi(ㄏㄟˇ)=3,3,"1,3,4"
點,diǎn,3,moe_dict,verified,diǎn(ㄉㄧㄢˇ)=3,1,3
