method,K,n_eval_tokens,n_speakers,pooled_roc,pooled_pr_auc,balanced_accuracy,incorrect_f1,within_speaker_roc_median,within_speaker_roc_q1,within_speaker_roc_q3,within_speaker_roc_min,within_speaker_roc_max,n_speakers_evaluable_within,speaker_median_vs_prevalence_rho,mean_tones_seen_in_warmup
S0,0,832,16,0.6055318882345571,0.2650637392847161,0.5781856910161634,0.3140794223826715,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.6147058823529412,nan
S0,5,832,16,0.6055318882345571,0.2650637392847161,0.5781856910161634,0.3140794223826715,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.6147058823529412,3.0
S0,10,832,16,0.6055318882345571,0.2650637392847161,0.5781856910161634,0.3140794223826715,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.6147058823529412,3.0
S0,20,832,16,0.6055318882345571,0.2650637392847161,0.5781856910161634,0.3140794223826715,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.6147058823529412,4.0
S1,5,832,16,0.5819968257945956,0.24754381742691473,0.5608110930125716,0.2996389891696751,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.05294117647058824,3.0
S1,10,832,16,0.601292653385123,0.25987602483539296,0.5825293405170613,0.3176895306859206,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.39999999999999997,3.0
S1,20,832,16,0.6130288602096646,0.28423422209278487,0.5694983920143675,0.30685920577617326,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.28529411764705886,4.0
S2,5,832,16,0.5851292653385123,0.24867579012208713,0.5651547425134695,0.30324909747292417,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.09999999999999999,3.0
S2,10,832,16,0.6049576076515056,0.22181789048651707,0.5999039385206533,0.33212996389891697,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.34705882352941175,3.0
S2,20,832,16,0.6037777220899636,0.2375626445198813,0.5825293405170613,0.3176895306859206,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.29705882352941176,4.0
S3,5,832,16,0.5819968257945956,0.24754381742691473,0.5608110930125716,0.2996389891696751,0.6071428571428571,0.5206349206349207,0.6630434782608695,0.4700665188470067,0.9019607843137255,13,0.05294117647058824,3.0
S3,10,832,16,0.5926993275696446,0.25372284713587995,0.5781856910161634,0.3140794223826715,0.5980392156862745,0.5112781954887218,0.677536231884058,0.48337028824833705,0.9019607843137255,13,0.33529411764705885,3.0
S3,20,832,16,0.5951217474836069,0.26611462591070945,0.5781856910161634,0.3140794223826715,0.5952380952380952,0.5119047619047619,0.6486928104575164,0.4417293233082707,0.7647058823529411,13,0.28823529411764703,4.0
