t_accept,t_incorrect,t2_safe,n,n_acceptable,n_uncertain,n_incorrect,coverage,abstention_rate,acceptable_precision,incorrect_precision,incorrect_recall,selective_error,false_acceptance_among_accepted,false_rejection_among_flagged,accepted_correct,accepted_incorrect,flagged_incorrect,flagged_correct,speakers_any,speakers_5plus,speakers_with_incorrect,speakers_with_acceptable
0.10543,0.47017,False,1424,29,604,791,0.5758426966292135,0.4241573033707865,0.9310344827586207,0.21491782553729458,0.7053941908713693,0.7597560975609756,0.06896551724137931,0.7850821744627055,27,2,170,621,32,31,32,19
0.10543,0.47017,True,1424,29,787,608,0.4473314606741573,0.5526685393258427,0.9310344827586207,0.22039473684210525,0.5560165975103735,0.7472527472527473,0.06896551724137931,0.7796052631578947,27,2,134,474,32,31,32,19
0.10543,0.47143,False,1424,29,621,774,0.5639044943820225,0.43609550561797755,0.9310344827586207,0.21705426356589147,0.6970954356846473,0.7571606475716065,0.06896551724137931,0.7829457364341085,27,2,168,606,32,31,32,19
0.10543,0.47143,True,1424,29,803,592,0.43609550561797755,0.5639044943820225,0.9310344827586207,0.22297297297297297,0.5477178423236515,0.7439613526570048,0.06896551724137931,0.777027027027027,27,2,132,460,32,31,32,19
0.10543,0.4729,False,1424,29,643,752,0.5484550561797753,0.4515449438202247,0.9310344827586207,0.21941489361702127,0.6846473029045643,0.7541613316261203,0.06896551724137931,0.7805851063829787,27,2,165,587,32,31,32,19
0.10543,0.4729,True,1424,29,823,572,0.4220505617977528,0.5779494382022472,0.9310344827586207,0.22552447552447552,0.5352697095435685,0.740432612312812,0.06896551724137931,0.7744755244755245,27,2,129,443,32,31,32,19
0.10543,0.4749,False,1424,29,665,730,0.5330056179775281,0.4669943820224719,0.9310344827586207,0.2232876712328767,0.6763485477178424,0.7496706192358367,0.06896551724137931,0.7767123287671233,27,2,163,567,32,30,32,19
0.10543,0.4749,True,1424,29,843,552,0.4080056179775281,0.5919943820224719,0.9310344827586207,0.23007246376811594,0.5269709543568465,0.7349397590361446,0.06896551724137931,0.769927536231884,27,2,127,425,32,30,32,19
0.10543,0.47582,False,1424,29,678,717,0.523876404494382,0.476123595505618,0.9310344827586207,0.22454672245467225,0.6680497925311203,0.7479892761394102,0.06896551724137931,0.7754532775453278,27,2,161,556,32,30,32,19
0.10543,0.47582,True,1424,29,854,541,0.4002808988764045,0.5997191011235955,0.9310344827586207,0.23105360443622922,0.5186721991701245,0.7333333333333333,0.06896551724137931,0.7689463955637708,27,2,125,416,32,30,32,19
0.10543,0.47709,False,1424,29,698,697,0.5098314606741573,0.4901685393258427,0.9310344827586207,0.2266857962697274,0.6556016597510373,0.7451790633608816,0.06896551724137931,0.7733142037302726,27,2,158,539,32,30,32,19
0.10543,0.47709,True,1424,29,871,524,0.3883426966292135,0.6116573033707865,0.9310344827586207,0.23282442748091603,0.5062240663900415,0.7305605786618445,0.06896551724137931,0.767175572519084,27,2,122,402,32,30,32,19
0.10543,0.47817,False,1424,29,714,681,0.49859550561797755,0.5014044943820225,0.9310344827586207,0.22466960352422907,0.6348547717842323,0.7464788732394366,0.06896551724137931,0.775330396475771,27,2,153,528,32,30,32,19
