threshold,incorrect_precision,incorrect_recall,incorrect_f1,false_rejection_rate,false_acceptance_rate,balanced_accuracy,n_flagged,pct_flagged
0.2621,0.17233727810650887,0.966804979253112,0.2925298179535468,0.9459002535925612,0.03319502074688796,0.5104523628302755,1352,94.9438202247191
0.3456,0.17798594847775176,0.946058091286307,0.29960578186596587,0.8901098901098901,0.053941908713692976,0.5279741005882085,1281,89.95786516853933
0.3951,0.18264462809917356,0.91701244813278,0.3046175051688491,0.8360101437024514,0.08298755186721996,0.5405011522151643,1210,84.97191011235955
0.4228,0.18717047451669597,0.8838174273858921,0.30891950688905,0.7819103972950127,0.11618257261410792,0.5509535150454397,1138,79.91573033707866
0.4422,0.1891385767790262,0.8381742738589212,0.30863254392666156,0.7320371935756551,0.16182572614107882,0.5530685401416331,1068,75.0
0.4553,0.1905717151454363,0.7883817427385892,0.3069466882067851,0.6821639898562976,0.2116182572614108,0.5531088764411458,997,70.01404494382022
0.4626,0.19870410367170627,0.7634854771784232,0.3153384747215081,0.6272189349112426,0.2365145228215768,0.5681332711335902,926,65.02808988764045
0.4702,0.20725995316159251,0.7344398340248963,0.3232876712328767,0.5722738799661876,0.2655601659751037,0.5810829770293544,854,59.97191011235955
0.4752,0.21656050955414013,0.7053941908713693,0.3313840155945419,0.5198647506339814,0.29460580912863066,0.5927647201186941,785,55.12640449438202
0.4789,0.2205056179775281,0.6514522821576764,0.329485834207765,0.4691462383770076,0.34854771784232363,0.5911530218903344,712,50.0
0.4835,0.2367601246105919,0.6307053941908713,0.3442808607021517,0.41420118343195267,0.36929460580912865,0.6082521053794594,642,45.08426966292135
0.49,0.24736842105263157,0.5850622406639004,0.3477188655980271,0.3626373626373626,0.41493775933609955,0.6112124390132689,570,40.02808988764045
0.4987,0.252,0.5228215767634855,0.3400809716599191,0.31614539306847,0.4771784232365145,0.6033380918475078,500,35.1123595505618
0.5068,0.25995316159250587,0.4605809128630705,0.3323353293413174,0.26711749788672867,0.5394190871369295,0.5967317074881708,427,29.985955056179776
0.517,0.27450980392156865,0.4066390041493776,0.3277591973244147,0.21893491124260356,0.5933609958506224,0.593852046453387,357,25.070224719101127
0.5285,0.2912280701754386,0.34439834024896265,0.3155893536121673,0.17075232459847844,0.6556016597510373,0.5868230078252421,285,20.014044943820224
0.548,0.32558139534883723,0.29045643153526973,0.3070175438596492,0.12256973795435334,0.7095435684647302,0.5839433467904582,215,15.098314606741573
0.5709,0.34965034965034963,0.2074688796680498,0.2604166666666667,0.07861369399830938,0.7925311203319502,0.5644275928348702,143,10.042134831460674
0.6205,0.4305555555555556,0.12863070539419086,0.19808306709265175,0.034657650042265425,0.8713692946058091,0.5469865276759627,72,5.056179775280898
